Ano,Municipio,TOTAL DE VITIMAS,IDADE,Total CVP,TOTAL DE ENVOLVIDOS,1º série_matrículas,2º série_matrículas,3º série_matrículas,4º série_matrículas,Anos finais_docentes,Anos finais_escolas,Anos iniciais_docentes,Anos iniciais_escolas,Creche_docentes,Creche_escolas,Creche_matrículas,Ensino fundamental_docentes,Ensino fundamental_escolas,Ensino fundamental_matrículas,Ensino infantil_docentes,Ensino infantil_escolas,Ensino infantil_matrículas,Ensino médio_docentes,Ensino médio_escolas,Ensino médio_matrículas,Estadual_docentes,Estadual_escolas,Estadual_matrículas,Federal_docentes,Federal_escolas,Federal_matrículas,Municipal_docentes,Municipal_escolas,Municipal_matrículas,Não seriada_matrículas,Privado_docentes,Privado_escolas,Privado_matrículas,Pré-escolar_docentes,Pré-escolar_escolas,Pré-escolar_matrículas,IDEB
2015,itacuruba,1,33.0,1,5,64.0,51.0,100.0,55.0,17.0,1.0,21.0,6.0,16.0,1.0,136.0,38.0,7.0,875.0,28.0,4.0,282.0,18.0,1.0,270.0,0.0,0.0,67.5,0.0,0.0,0.0,16.5,3.0,105.18181818181819,0.0,0.0,0.0,0.0,12.0,4.0,146.0,4.6
2015,itapissuma,10,27.6,75,59,418.0,320.0,271.0,0.0,96.0,8.0,91.0,13.0,11.0,7.0,207.0,183.0,16.0,3873.0,47.0,12.0,839.0,64.0,4.0,1009.0,33.0,2.0,223.14285714285714,0.0,0.0,0.0,36.25,5.25,279.3636363636364,0.0,15.25,4.0,77.57142857142857,37.0,11.0,632.0,3.25
2015,itaquitinga,12,34.166666666666664,41,12,156.0,232.0,195.0,10.0,66.0,6.0,72.0,15.0,9.0,4.0,133.0,132.0,16.0,2733.0,37.0,12.0,637.0,44.0,3.0,593.0,18.0,1.0,137.5,0.0,0.0,0.0,27.25,5.5,208.5,0.0,13.25,3.5,57.81818181818182,29.0,12.0,504.0,3.8
2015,jaqueira,1,28.0,20,27,177.0,180.0,206.0,77.0,52.0,2.0,50.0,20.0,14.0,18.0,245.0,101.0,20.0,2128.0,30.0,21.0,581.0,29.0,1.0,640.0,0.0,0.0,160.0,0.0,0.0,0.0,27.25,13.5,221.72727272727272,0.0,5.75,1.5,24.545454545454547,16.0,20.0,336.0,4.2
2015,joaquim nabuco,4,30.5,62,49,269.0,157.0,189.0,13.0,46.0,1.0,77.0,19.0,1.0,1.0,14.0,120.0,20.0,2666.0,17.0,19.0,360.0,30.0,1.0,628.0,0.0,0.0,157.0,0.0,0.0,0.0,41.0,11.666666666666666,281.4,0.0,5.666666666666667,1.6666666666666667,30.285714285714285,16.0,19.0,346.0,4.1
2015,jucati,9,32.0,16,8,151.0,114.0,130.0,0.0,44.0,1.0,53.0,13.0,15.0,2.0,138.0,97.0,13.0,2155.0,34.0,10.0,501.0,23.0,1.0,395.0,0.0,0.0,131.66666666666666,0.0,0.0,0.0,32.75,6.0,241.45454545454547,0.0,0.0,0.0,0.0,19.0,8.0,363.0,6.0
2015,jupi,7,33.714285714285715,66,25,194.0,184.0,128.0,0.0,72.0,2.0,60.0,11.0,23.0,10.0,498.0,131.0,11.0,2539.0,55.0,14.0,1075.0,23.0,1.0,506.0,0.0,0.0,168.66666666666666,0.0,0.0,0.0,41.0,7.75,301.54545454545456,0.0,8.333333333333334,1.6666666666666667,33.0,32.0,13.0,577.0,6.5
2015,jurema,2,25.5,57,10,229.0,181.0,156.0,0.0,62.0,2.0,63.0,23.0,14.0,4.0,254.0,125.0,23.0,2493.0,34.0,16.0,630.0,24.0,1.0,566.0,0.0,0.0,188.66666666666666,0.0,0.0,0.0,38.75,10.5,267.6363636363636,0.0,4.0,1.0,25.571428571428573,20.0,16.0,376.0,4.5
2015,lagoa do carro,10,26.0,101,49,231.0,180.0,157.0,0.0,55.0,3.0,63.0,15.0,8.0,13.0,233.0,113.0,17.0,2279.0,35.0,14.0,707.0,25.0,1.0,568.0,6.0,1.0,148.5,0.0,0.0,0.0,29.5,8.5,212.9090909090909,0.0,8.25,2.25,56.18181818181818,28.0,13.0,474.0,4.8
2015,lagoa do ouro,3,27.0,7,28,160.0,141.0,126.0,0.0,89.0,3.0,50.0,28.0,5.0,18.0,118.0,139.0,28.0,2600.0,38.0,28.0,504.0,19.0,1.0,427.0,0.0,0.0,142.33333333333334,0.0,0.0,0.0,41.25,18.0,261.72727272727275,0.0,4.333333333333333,1.6666666666666667,32.142857142857146,34.0,28.0,386.0,4.5
